date,货币(M1)-同比增长,货币和准货币(M2)-同比增长
2008-01-01,20.54,18.88
2008-02-01,18.95,17.39
2008-03-01,17.97,16.19
2008-04-01,19.05,16.94
2008-05-01,17.93,18.07
2008-06-01,14.19,17.37
2008-07-01,13.96,16.35
2008-08-01,11.48,16.0
2008-09-01,9.43,15.29
2008-10-01,8.85,15.02
2008-11-01,6.8,14.8
2008-12-01,9.06,17.82
2009-01-01,6.68,18.79
2009-02-01,10.87,20.48
2009-03-01,17.04,25.51
2009-04-01,17.48,25.95
2009-05-01,18.69,25.74
2009-06-01,24.79,28.46
2009-07-01,26.37,28.42
2009-08-01,27.72,28.53
2009-09-01,29.51,29.31
2009-10-01,32.03,29.42
2009-11-01,34.63,29.74
2009-12-01,32.35,27.68
2010-01-01,38.96,25.98
2010-02-01,34.99,25.52
2010-03-01,29.94,22.5
2010-04-01,31.25,21.48
2010-05-01,29.9,21.0
2010-06-01,24.6,18.5
2010-07-01,22.9,17.6
2010-08-01,21.9,19.2
2010-09-01,20.9,19.0
2010-10-01,22.1,19.3
2010-11-01,22.1,19.5
2010-12-01,21.2,19.7
2011-01-01,13.6,17.2
2011-02-01,14.5,15.7
2011-03-01,15.0,16.6
2011-04-01,12.9,15.3
2011-05-01,12.7,15.1
2011-06-01,13.1,15.9
2011-07-01,11.6,14.7
2011-08-01,11.2,13.5
2011-09-01,8.85,13.04
2011-10-01,8.4,12.9
2011-11-01,7.8,12.7
2011-12-01,7.9,13.6
2012-01-01,3.1,12.4
2012-02-01,4.3,13.0
2012-03-01,4.4,13.4
2012-04-01,3.1,12.8
2012-05-01,3.5,13.2
2012-06-01,4.7,13.6
2012-07-01,4.6,13.9
2012-08-01,4.5,13.5
2012-09-01,7.3,14.8
2012-10-01,6.1,14.1
2012-11-01,5.5,13.9
2012-12-01,6.5,13.8
2013-01-01,15.3,15.9
2013-02-01,9.5,15.2
2013-03-01,11.9,15.7
2013-04-01,11.9,16.1
2013-05-01,11.3,15.8
2013-06-01,9.1,14.0
2013-07-01,9.7,14.5
2013-08-01,9.9,14.7
2013-09-01,8.9,14.2
2013-10-01,8.9,14.3
2013-11-01,9.4,14.2
2013-12-01,9.3,13.6
2014-01-01,1.2,13.2
2014-02-01,6.9,13.3
2014-03-01,5.4,12.1
2014-04-01,5.5,13.2
2014-05-01,5.7,13.4
2014-06-01,8.9,14.7
2014-07-01,6.7,13.5
2014-08-01,5.7,12.8
2014-09-01,4.8,12.9
2014-10-01,3.2,12.6
2014-11-01,3.2,12.3
2014-12-01,3.2,12.2
2015-01-01,10.6,10.8
2015-02-01,5.6,12.5
2015-03-01,2.9,11.6
2015-04-01,3.7,10.1
2015-05-01,4.7,10.8
2015-06-01,4.3,11.8
2015-07-01,6.6,13.3
2015-08-01,9.3,13.3
2015-09-01,11.4,13.1
2015-10-01,14.0,13.5
2015-11-01,15.7,13.7
2015-12-01,15.2,13.3
2016-01-01,18.6,14.0
2016-02-01,17.4,13.3
2016-03-01,22.1,13.4
2016-04-01,22.9,12.8
2016-05-01,23.7,11.8
2016-06-01,24.6,11.8
2016-07-01,25.4,10.2
2016-08-01,25.3,11.4
2016-09-01,24.7,11.5
2016-10-01,23.9,11.6
2016-11-01,22.7,11.4
2016-12-01,21.4,11.3
2017-01-01,14.5,10.7032
2017-02-01,21.4,10.45
2017-03-01,18.8,10.1178
2017-04-01,18.5,9.8426
2017-05-01,17.0,9.1289
2017-06-01,15.0,9.1013
2017-07-01,15.3,8.89
2017-08-01,14.0,8.5633
2017-09-01,14.0,8.976
2017-10-01,13.0,8.8771
2017-11-01,12.7,9.1148
2017-12-01,11.8,8.0654
2018-01-01,15.0,8.6
2018-02-01,8.5,8.8
2018-03-01,7.1,8.2
2018-04-01,7.2,8.3
2018-05-01,6.0,8.3
2018-06-01,6.6,8.0
2018-07-01,5.1,8.5
2018-08-01,3.9,8.2
2018-09-01,4.0,8.3
2018-10-01,2.7,8.0
2018-11-01,1.5,8.0
2018-12-01,1.5,8.1
2019-01-01,0.4,8.4
2019-02-01,1.6,8.0
2019-03-01,4.6,8.6
2019-04-01,2.9,8.5
2019-05-01,3.4,8.5
2019-06-01,4.4,8.5
2019-07-01,3.1,8.1
2019-08-01,3.4,8.2
2019-09-01,3.4,8.4
2019-10-01,3.3,8.4
2019-11-01,3.5,8.2
2019-12-01,4.4,8.7
2020-01-01,0.0,8.4
2020-02-01,4.8,8.8
2020-03-01,5.0,10.1
2020-04-01,5.5,11.1
2020-05-01,6.8,11.1
2020-06-01,6.5,11.1
2020-07-01,6.9,10.7
2020-08-01,8.0,10.4
2020-09-01,8.1,10.9
2020-10-01,9.1,10.5
2020-11-01,10.0,10.7
2020-12-01,8.6,10.1
2021-01-01,14.7,9.4
2021-02-01,7.4,10.1
2021-03-01,7.1,9.4
2021-04-01,6.2,8.1
2021-05-01,6.1,8.3
2021-06-01,5.5,8.6
2021-07-01,4.9,8.3
2021-08-01,4.2,8.2
2021-09-01,3.7,8.3
2021-10-01,2.8,8.7
2021-11-01,3.0,8.5
2021-12-01,3.5,9.0
2022-01-01,-1.9,9.8
2022-02-01,4.7,9.2
2022-03-01,4.7,9.7
2022-04-01,5.1,10.5
2022-05-01,4.6,11.1
2022-06-01,5.8,11.4
2022-07-01,6.7,12.0
2022-08-01,6.1,12.2
2022-09-01,6.4,12.1
2022-10-01,5.8,11.8
2022-11-01,4.6,12.4
2022-12-01,3.7,11.8
2023-01-01,6.7,12.6
2023-02-01,5.8,12.9
2023-03-01,5.1,12.7
2023-04-01,5.3,12.4
2023-05-01,4.7,11.6
2023-06-01,3.1,11.3
2023-07-01,2.3,10.7
2023-08-01,2.2,10.6
2023-09-01,2.1,10.3
2023-10-01,1.9,10.3
2023-11-01,1.3,10.0
2023-12-01,1.3,9.7
2024-01-01,5.9,8.7
2024-02-01,1.2,8.7
2024-03-01,1.1,8.3
2024-04-01,-1.4,7.2
2024-05-01,-4.2,7.0
2024-06-01,-5.0,6.2
2024-07-01,-6.6,6.3
2024-08-01,-7.3,6.3
2024-09-01,-7.4,6.8
2024-10-01,-6.1,7.5
2024-11-01,-3.7,7.1
2024-12-01,-1.4,7.3
2025-01-01,0.4,7.0
2025-02-01,0.1,7.0
2025-03-01,1.6,7.0
2025-04-01,1.5,8.0
2025-05-01,2.3,7.9
2025-06-01,4.6,8.3
2025-07-01,5.6,8.8
2025-08-01,6.0,8.8
2025-09-01,7.2,8.4
2025-10-01,6.2,8.2
2025-11-01,4.9,8.0
2025-12-01,3.8,8.5
2026-01-01,4.9,9.0
2026-02-01,5.9,9.0
2026-03-01,5.1,8.5
2026-04-01,5.0,8.6
2026-05-01,5.5,8.6
2026-06-01,4.0,8.0
2026-07-01,4.0,7.7
