date,融资余额
2018-01-02,608366051878
2018-01-03,608815534517
2018-01-04,610527948195
2018-01-05,611033498008
2018-01-08,614437310945
2018-01-09,616540107796
2018-01-10,619625092233
2018-01-11,621046744130
2018-01-12,619848249343
2018-01-15,621497637591
2018-01-16,625992542194
2018-01-17,627094987907
2018-01-18,634228438561
2018-01-19,636018905560
2018-01-22,639921300534
2018-01-23,644564213418
2018-01-24,646859187212
2018-01-25,647529134317
2018-01-26,646634615949
2018-01-29,648256047965
2018-01-30,648176166579
2018-01-31,645400680690
2018-02-01,636482319607
2018-02-02,631035437334
2018-02-05,630054975768
2018-02-06,619290275865
2018-02-07,616405478519
2018-02-08,615710148081
2018-02-09,604833557210
2018-02-12,600926938548
2018-02-13,595328087592
2018-02-14,587596708400
2018-02-22,590374192560
2018-02-23,590318411364
2018-02-26,592714977109
2018-02-27,593011785899
2018-02-28,594617162664
2018-03-01,595939917864
2018-03-02,595361568569
2018-03-05,595049930410
2018-03-06,597537104191
2018-03-07,596969079947
2018-03-08,597940210780
2018-03-09,597050145863
2018-03-12,600045856188
2018-03-13,599568767827
2018-03-14,600345441237
2018-03-15,601172365606
2018-03-16,600603525889
2018-03-19,601576470724
2018-03-20,602106366122
2018-03-21,603579457196
2018-03-22,603796655509
2018-03-23,593792703708
2018-03-26,597411337395
2018-03-27,599442144212
2018-03-28,599307494218
2018-03-29,600145215249
2018-03-30,598855912677
2018-04-02,601030714928
2018-04-03,601169419027
2018-04-04,598181552536
2018-04-09,599650337034
2018-04-10,599080845943
2018-04-11,599689679276
2018-04-12,600424988033
2018-04-13,599833935982
2018-04-16,601024882857
2018-04-17,600284382263
2018-04-18,600098082128
2018-04-19,599180521526
2018-04-20,596545372671
2018-04-23,596995595435
2018-04-24,596377635708
2018-04-25,597019402304
2018-04-26,596178122764
2018-04-27,592867415552
2018-05-02,592911559958
2018-05-03,591987078108
2018-05-04,590434735762
2018-05-07,591629638695
2018-05-08,592400524194
2018-05-09,593703956355
2018-05-10,594735071550
2018-05-11,592719427747
2018-05-14,592905263679
2018-05-15,593410196752
2018-05-16,594416330170
2018-05-17,595158136870
2018-05-18,594145598040
2018-05-21,595880340436
2018-05-22,597985960989
2018-05-23,599797085094
2018-05-24,600564172688
2018-05-25,598455827921
2018-05-28,598949037435
2018-05-29,597965012117
2018-05-30,595635486365
2018-05-31,595372987763
2018-06-01,592445445276
2018-06-04,590840188900
2018-06-05,591074705741
2018-06-06,590709945434
2018-06-07,590959804095
2018-06-08,589088015126
2018-06-11,588485005458
2018-06-12,588519533549
2018-06-13,587140793988
2018-06-14,586589031060
2018-06-15,581569561529
2018-06-19,567849953722
2018-06-20,564645936794
2018-06-21,560808688544
2018-06-22,558196136785
2018-06-25,556875334203
2018-06-26,556636105493
2018-06-27,555886983956
2018-06-28,555085668675
2018-06-29,553522416883
2018-07-02,552525463016
2018-07-03,552690105369
2018-07-04,549414701907
2018-07-05,546020776894
2018-07-06,543489414407
2018-07-09,542012974350
2018-07-10,541878346674
2018-07-11,539487029849
2018-07-12,540247707295
2018-07-13,538340528874
2018-07-16,538527240085
2018-07-17,539103125579
2018-07-18,538559054640
2018-07-19,536935848153
2018-07-20,534906513435
2018-07-23,534001675133
