date,社会融资规模增量,其中-人民币贷款
2015-01-01,20516,14708
2015-02-01,13609,11437
2015-03-01,12433,9920
2015-04-01,10582,8045
2015-05-01,12397,8510
2015-06-01,18384,13240
2015-07-01,7511,5890
2015-08-01,11097,7756
2015-09-01,13571,10417
2015-10-01,5593,5574
2015-11-01,10255,8873
2015-12-01,18114,8323
2016-01-01,34758,25370
2016-02-01,8312,8105
2016-03-01,23931,13176
2016-04-01,7809,5642
2016-05-01,6770,9374
2016-06-01,16479,13141
2016-07-01,4791,4550
2016-08-01,14605,7969
2016-09-01,17115,12628
2016-10-01,8865,6010
2016-11-01,18328,8463
2016-12-01,16397,9943
2017-01-01,36970,23133
2017-02-01,10908,10317
2017-03-01,21186,11586
2017-04-01,13880,10806
2017-05-01,10631,11780
2017-06-01,17718,14474
2017-07-01,11956,9152
2017-08-01,14895,11466
2017-09-01,18335,11885
2017-10-01,10357,6635
2017-11-01,16128,11428
2017-12-01,11481,5769
2018-01-01,30793,26850
2018-02-01,11894,10199
2018-03-01,15848,11425
2018-04-01,17761,10987
2018-05-01,9518,11396
2018-06-01,14877,16787
2018-07-01,12254,12861
2018-08-01,19391,13140
2018-09-01,21691,14341
2018-10-01,7420,7141
2018-11-01,15239,12302
2018-12-01,15898,9281
2019-01-01,46791,35668
2019-02-01,9665,7641
2019-03-01,29602,19584
2019-04-01,16710,8733
2019-05-01,17124,11855
2019-06-01,26243,16737
2019-07-01,12872,8086
2019-08-01,21956,13045
2019-09-01,25142,17612
2019-10-01,8680,5470
2019-11-01,19937,13633
2019-12-01,22013,10770
2020-01-01,50535,34924
2020-02-01,8737,7202
2020-03-01,51838,30390
2020-04-01,31027,16239
2020-05-01,31866,15502
2020-06-01,34681,19029
2020-07-01,16928,10221
2020-08-01,35853,14201
2020-09-01,34693,19171
2020-10-01,13929,6663
2020-11-01,21355,15309
2020-12-01,17192,11458
2021-01-01,51884,38182
2021-02-01,17243,13413
2021-03-01,33762,27511
2021-04-01,18570,12840
2021-05-01,19522,14294
2021-06-01,37017,23182
2021-07-01,10752,8391
2021-08-01,29893,12713
2021-09-01,29026,17755
2021-10-01,16176,7752
2021-11-01,25983,13021
2021-12-01,23682,10350
2022-01-01,61759,41988
2022-02-01,12170,9084
2022-03-01,46565,32291
2022-04-01,9327,3616
2022-05-01,28415,18230
2022-06-01,51926,61759
2022-07-01,7785,4088
2022-08-01,24712,13344
2022-09-01,35411,25686
2022-10-01,9134,4431
2022-11-01,19837,11448
2022-12-01,13058,14401
2023-01-01,59956,49314
2023-02-01,31610,18184
2023-03-01,53867,39487
2023-04-01,12249,4431
2023-05-01,15560,12219
2023-06-01,42265,32413
2023-07-01,5366,364
2023-08-01,31279,13412
2023-09-01,41326,25369
2023-10-01,18441,4837
2023-11-01,24554,11120
2023-12-01,19401,11092
2024-01-01,64734,48401
2024-02-01,14959,9773
2024-03-01,48335,32920
2024-04-01,-658,3349
2024-05-01,20623,8197
2024-06-01,32985,21927
2024-07-01,7707,-808
2024-08-01,30323,10411
2024-09-01,37635,19742
2024-10-01,14120,2965
2024-11-01,23288,5216
2024-12-01,28507,8402
2025-01-01,70546,52194
2025-02-01,22331,6528
2025-03-01,58961,38234
2025-04-01,11599,884
2025-05-01,22900,5923
2025-06-01,42251,23600
2025-07-01,11307,-4296
2025-08-01,25660,6253
2025-09-01,35299,16081
2025-10-01,8178,-154
2025-11-01,24926,4096
2025-12-01,22075,9804
2026-01-01,72185,49016
2026-02-01,23837,8458
2026-03-01,52240,31522
2026-04-01,6245,-4006
