date,industry,sentiment_score,importance_avg,news_count
2026-05-14,人工智能/算力,0.6778,3.54,24
2026-05-14,新能源车/风电,0.4764,3.56,9
2026-05-14,半导体/光伏,0.5294,3.38,16
2026-05-14,电子,0.7279,2.83,6
2026-05-14,有色/钢铁/煤炭,-0.5949,3.0,9
2026-05-14,金融,0.3085,3.29,7
2026-05-14,互联网/软件,0.8483,3.12,8
2026-05-14,农业,0.7174,2.83,6
2026-05-14,自动化/制造,0.7922,3.38,8
2026-05-14,交运,0.4217,2.5,4
2026-05-14,传媒,0.5,3.0,2
2026-05-14,军工,1.0,3.43,7
2026-05-14,环保/公用,0.0667,3.0,2
2026-05-14,基建/地产/石油石化,-0.2517,3.4,5
2026-05-14,化工,0.64,3.0,6
2026-05-14,医药,-0.2258,2.67,3
2026-05-14,电力设备,0.4237,3.33,6
