# K线滞后白名单 (check_data_freshness.py 用): 一码一行, 空格后为备注
# 列入条件: 退市/长期停牌 — 无后续K线是真实状态, 非数据问题.
# 2026-09-03 核实 (东财行情接口): 名称含"退"=已退市; 现价0=停牌中.
# 停牌股若复牌且下载器未更新, 门禁会FAIL → 届时请将其从本文件移除.
300029 天龙退 2026-07-09 退市
600193 退市创兴 2026-06-29 退市
600608 退市沪科 2026-06-29 退市
605081 退市太和 2026-06-29 退市
600421 退市华嵘 2026-06-22 退市
600599 退市熊猫 2026-06-22 退市
600636 退市国化 2026-06-22 退市
600696 退市岩石 2026-06-22 退市
300379 东通退 2026-01-21 退市
002731 *ST萃华 2026-08-27 停牌中
301139 *ST元道 2026-08-27 停牌中
301266 宇邦新材 2026-08-27 停牌中
600929 雪天盐业 2026-08-27 停牌中
002870 香山股份 2026-08-27 停牌中
603056 德邦股份 2026-01-20 停牌中
