选股日期,股票代码,股票名称,行业,综合评分,权重,目标仓位,当前价格,因子名称,信号强度,选股理由,止损价,止盈价,盈亏比
2026-05-18,000019,深粮控股,消费,1.9427,0.0607,7280.0,7.05,IND_消费_B_消费_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前81%,,,
2026-05-18,300531,优博讯,通信/计算机,1.9479,0.105,12602.0,20.26,IND_通信/计_B_通信_FVA,Chan3买(段级·0.60),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前96%,,,
2026-05-18,002460,赣锋锂业,有色/钢铁/煤炭,1.7947,0.1228,14735.0,78.06,IND_有色/钢_B_有色_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前57%,,,
2026-05-18,002021,中捷资源,自动化/制造,1.8496,0.1228,14735.0,3.12,MOM_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前61%,,,
2026-05-18,600956,新天绿能,电力设备,1.8435,0.1224,14693.0,8.68,IND_电力设备_B_电力_FVA,Chan3买(段级·0.72),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前79%,,,
2026-05-18,301051,信濠光电,电子,1.7429,0.0699,8382.0,24.94,IND_电子_B_电子_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前67%,,,
2026-05-18,600732,爱旭股份,半导体/光伏,1.2143,0.1024,12284.0,13.37,IND_半导体/_B_半导_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前70%,,,
2026-05-18,003042,中农联合,化工,1.2978,0.0725,8703.0,16.65,IND_化工_B_化工_FVA,Chan3买(段级·0.72),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前61%,,,
2026-05-18,301201,诚达药业,医药,1.296,0.0515,6177.0,38.97,IND_医药_B_医药_FVAD,强因子(1.296),"因子评分驱动·无缠论买点确认, 综合评分1.296",,,
2026-05-18,301081,严牌股份,环保/公用,1.232,0.0478,5736.0,20.3,IND_环保/公_B_环保_FVAVR2,强因子(1.232),"因子评分驱动·无缠论买点确认, 综合评分1.232",,,
2026-05-18,300010,豆神教育,传媒,0.7276,0.0717,8604.0,2.69,DYN_传媒_3F_FVA,强因子(0.728),"因子评分驱动·无缠论买点确认, 综合评分0.728",,,
2026-05-18,002811,郑中设计,建材,0.3922,0.0506,6067.0,13.3,IND_建材_B_建材_FVA,强因子(0.392),"因子评分驱动·无缠论买点确认, 综合评分0.392",,,
2026-05-19,301360,荣旗科技,自动化/制造,1.9262,0.1209,14506.0,89.59,MOM_FBA,Chan3买(段级·0.78),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前82%,,,
2026-05-19,600066,宇通客车,新能源车/风电,1.8658,0.1178,14131.0,31.71,IND_新能源车_B_新能_FBA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前81%,,,
2026-05-19,001287,中电港,电子,1.8612,0.0889,10667.0,28.3,DYN_电子_2F_FBA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 动态IC因子验证有效; 截面前69%,,,
2026-05-19,002415,海康威视,通信/计算机,1.8443,0.0797,9569.0,33.0,IND_通信/计_B_通信_FBA,Chan3买(段级·0.81),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前84%,,,
2026-05-19,001219,青岛食品,消费,1.8089,0.0415,4984.0,14.26,IND_消费_B_消费_FBA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前85%,,,
