entry,exit,code,hold,actual_ret,bp,prod_triggered,prod_sim_ret,A_triggered,A_sim_ret,B_triggered,B_sim_ret,fwd5,fwd20,yr
2021-05-07,2021-05-11,300588,4,0.03806776107991,0,False,,False,,False,,0.01739163797036758,0.20120117440459961,2021
2021-04-13,2021-05-17,300725,34,-0.0115809657831795,0,True,0.04018267091501837,True,0.04018267091501837,True,0.12510862263418332,0.030925110399097955,0.10356751682683352,2021
2021-06-08,2021-06-09,603393,1,-0.000840871748199,8,False,,False,,False,,-0.05754048379545196,-0.05696086539680201,2021
2021-06-18,2021-06-22,300503,4,0.0823226731246526,0,False,,False,,False,,-0.008849774962600532,-0.06056624355408291,2021
2021-04-13,2021-06-25,300012,73,0.0596857010262452,0,True,0.03168609423739954,True,0.03168609423739954,True,0.05828271219832537,-0.12227494165393626,-0.20494237114125557,2021
2021-05-28,2021-06-29,002568,32,-0.0290764982145839,0,True,-0.09432446329862443,True,-0.09432446329862443,True,-0.06282941252088936,-0.059022101884414035,-0.15944540553512054,2021
2021-06-29,2021-07-01,002318,2,-0.0142366670642473,1,False,,False,,False,,-0.08260401319514177,-0.16959846021974057,2021
2021-06-08,2021-07-05,600769,27,0.2240369649312514,0,False,,False,,False,,-0.024063166425999705,-0.056959913625123315,2021
2021-06-18,2021-07-07,002866,19,0.050967537488074,0,False,,False,,False,,0.039009348068042904,-0.019039727580587362,2021
2021-07-09,2021-07-14,603681,5,0.0415881952793899,0,False,,False,,False,,-0.01583240260034091,0.07929596898602242,2021
2021-07-09,2021-07-27,603267,18,0.197663821309642,0,False,,False,,False,,-0.002333970470690061,0.10271726097499045,2021
2021-07-20,2021-07-27,688388,7,-0.000433901657216,0,True,-0.001577287066246269,True,-0.001577287066246269,True,0.03041910770617351,-0.041513830513881134,0.22420399982690697,2021
2021-08-10,2021-08-16,603896,6,-0.0661713506634972,0,False,,False,,True,-0.06509086589856272,-0.007883258328506115,0.008108389292142526,2021
2021-08-10,2021-08-24,600211,14,-0.0786953246456276,0,False,,False,,True,-0.052715018704069694,-0.12399708261656506,-0.16837138614072544,2021
2021-08-10,2021-08-24,688177,14,-0.0717436359042469,0,True,-0.09215817694369988,True,-0.09215817694369988,True,-0.0673592493297589,0.05659201144191783,0.18812100323764502,2021
2021-07-30,2021-08-26,300015,27,-0.1514716266178951,0,True,-0.09996057527574287,True,-0.09996057527574287,True,-0.04512109300641154,-0.16775166378312256,0.013368247094830421,2021
2021-08-10,2021-08-31,300049,21,-0.0826512826107168,0,True,-0.05425318151373082,True,-0.05425318151373082,True,-0.05425318151373082,-0.07269669869793738,-0.07484323411761817,2021
2021-08-20,2021-09-03,000963,14,-0.2307183910615409,0,True,-0.09200343938091127,True,-0.09200343938091127,True,-0.09200343938091127,0.031125399460009806,-0.03238989265737913,2021
2021-08-31,2021-09-13,688177,13,0.1312967036960632,5,False,,False,,False,,0.0031179677897206215,-0.11028849525554474,2021
2021-07-30,2021-09-16,000607,48,0.1015015870567097,0,False,,False,,True,0.02088928678006563,-0.020520105451903414,-0.0016891269794050423,2021
2021-08-20,2021-09-16,000989,27,-0.0250496885094309,0,False,,False,,True,-0.017808219178082285,-0.03658875218357549,-0.008744496466337903,2021
2021-08-31,2021-09-16,600062,16,0.0482021054271502,0,False,,False,,False,,0.014549214905624108,-0.010462784229183342,2021
2021-08-20,2021-09-16,601003,27,0.1996871196805856,0,False,,False,,False,,-0.1311871141123433,-0.2685590799597354,2021
2021-08-31,2021-09-17,600257,17,0.0692878602803621,0,False,,False,,True,-0.0060882800608828,0.056128577763335796,-0.11650782437105567,2021
2021-08-10,2021-09-22,300281,43,0.0910496258210007,0,True,-0.06880733944954132,True,-0.06880733944954132,True,-0.01834862385321101,-0.16144216260497568,-0.22729749014908773,2021
2021-09-10,2021-10-08,000708,28,-0.2479149935486591,5,True,-0.1009302325581396,True,-0.1009302325581396,True,-0.040930232558139434,-0.0001914311236030919,-0.09140831307833697,2021
2021-09-23,2021-10-08,600036,15,0.0086162826970916,0,False,,False,,False,,0.04776236601837569,0.03568663497304381,2021
2021-08-10,2021-10-11,600513,62,-0.0384835951962428,0,False,,False,,True,-0.051432770022042607,0.008597753031134525,-0.009128042276969728,2021
2021-05-07,2021-10-12,002262,158,-0.0374959272312879,0,True,-0.006813020439061734,True,-0.006813020439061734,True,0.028009084027251774,-0.016728919868689962,-0.027071365489905963,2021
2021-09-23,2021-10-14,002208,21,-0.0754629185147855,6,True,-0.09338993329290479,True,-0.09338993329290479,True,-0.06306852637962379,-0.030006462331229944,-0.05562130210288607,2021
2021-08-20,2021-10-19,002755,60,-0.0187429858880258,0,False,,False,,True,-0.0042808219178080975,0.04370579808299646,-0.07330540841239663,2021
2021-10-19,2021-10-20,002189,1,0.0461168648396599,6,False,,False,,False,,0.032618681771478863,0.21344979004162346,2021
2021-10-11,2021-10-29,300482,18,-0.2091675912931656,1,True,-0.15157529149094517,True,-0.15157529149094517,True,-0.08012900024807745,0.04175025499088192,0.14346788215780282,2021
2021-08-20,2021-11-01,603367,73,-0.0836820193825415,8,True,-0.08717635777177235,True,-0.08717635777177235,True,-0.054049341818498964,-0.002939584676586171,0.0404065849452202,2021
2021-10-19,2021-11-04,000060,16,-0.1521435769949899,1,True,-0.17678241338461032,True,-0.17678241338461032,True,-0.14293046188542968,-0.030581531301074882,0.03483937325036912,2021
2021-10-19,2021-11-04,300041,16,0.0851551684889158,1,False,,False,,False,,0.05238088693509324,0.01188145016045139,2021
2021-10-19,2021-11-04,300248,16,-0.0481408120491657,0,False,,False,,True,-0.05600000000000005,0.33235732675336727,0.3545401750655981,2021
2021-10-19,2021-11-04,300580,16,0.044170319713563,0,False,,False,,True,-0.05598151512324179,0.038570070818261915,0.16002641027461761,2021
2021-10-11,2021-11-04,300819,24,0.0934853393433634,1,True,-0.08292934502320759,True,-0.08292934502320759,True,-0.0544610624033004,0.0067192687707235965,0.06880318350980463,2021
2021-10-29,2021-11-04,600176,6,-0.0698580144444481,0,False,,False,,True,-0.06545412418906404,-0.055937339499022465,-0.020660315997936718,2021
2021-08-31,2021-11-04,601007,65,-0.0891928678657026,0,True,-0.018921475875118388,True,-0.018921475875118388,True,0.018921475875118166,0.019750275744357282,0.03016651962325767,2021
2021-10-11,2021-11-04,603386,24,0.0024799066924443,0,True,-0.06700317148345014,True,-0.06700317148345014,True,-0.025684549068655915,0.3380290034035609,0.3044938815952545,2021
2021-10-29,2021-11-05,002870,7,0.3678011084390762,0,False,,False,,False,,0.04974023975473019,-0.05030342710034619,2021
2021-10-19,2021-11-09,603011,21,-0.0657389879301277,0,True,-0.08043875685557589,True,-0.08043875685557589,True,-0.08043875685557589,0.0946618889554589,0.2253969095615478,2021
2021-10-29,2021-11-23,300695,25,0.0990577399030376,6,False,,False,,False,,-0.0279363847648032,0.07791862815648543,2021
2021-10-11,2021-11-25,600201,45,0.0317819562552705,0,True,-0.08460892591874958,True,-0.08460892591874958,True,-0.0729832719757153,-0.004040896147507578,-0.055089866224108164,2021
2021-11-30,2021-12-01,300522,1,0.0220665798467545,1,False,,False,,False,,0.15812504551252893,0.05780738867936264,2021
2021-12-10,2021-12-14,603369,4,0.024250435575708,0,False,,False,,False,,-0.022086355868589647,-0.1474176154874548,2021
2021-12-10,2021-12-17,603127,7,-0.0710538347313842,0,False,,False,,True,-0.05747845159304288,-0.09294144036133467,-0.1753470715312434,2021
2021-11-19,2021-12-20,300487,31,-0.0103443686055408,0,True,-0.05257686379007476,True,-0.05257686379007476,True,0.014817116159021149,-0.04513296865722782,0.2107443336264645,2021
2021-12-10,2021-12-21,002142,11,-0.0070327739338176,0,False,,False,,False,,-0.04496045341115751,-0.00914999506548786,2021
2021-07-20,2021-12-22,300446,155,0.1662734416316464,0,True,-0.10679611650485432,True,-0.10679611650485432,True,-0.05409153952843282,-0.018020404590359806,0.06757587975527479,2021
2021-12-21,2021-12-22,300577,1,0.0470447878381601,1,False,,False,,False,,-0.054018421697843655,-0.03488121540602751,2021
2021-12-10,2021-12-22,603267,12,-0.0572016071634406,0,False,,False,,True,-0.05231354557153256,0.036108134507589096,-0.02890280651121424,2021
2021-12-21,2021-12-22,688160,1,-0.0026118651405413,0,False,,False,,False,,-0.012247139606595181,0.08665138446897647,2021
2021-12-21,2021-12-23,002949,2,0.1338726333729203,8,False,,False,,False,,0.1423691507190381,0.20662741544698426,2021
2021-11-09,2021-12-28,600760,49,-0.1363989497761295,0,True,-0.06943800272981449,True,-0.06943800272981449,True,-0.06943800272981449,0.0216148575022721,-0.20167603829670877,2021
2021-12-21,2021-12-29,300383,8,0.0325897589404613,0,False,,False,,False,,0.021957063685539513,0.019861457950025807,2021
2021-12-21,2021-12-31,600456,10,0.0600194171576333,0,False,,False,,True,-0.05472322977448374,-0.05471032776389373,-0.3470818912021303,2021
2021-10-29,2022-01-05,600378,68,0.2471581769639255,1,False,,False,,False,,-0.09489909233761817,-0.09390787685944724,2022
2021-12-31,2022-01-05,688008,5,0.0063732134544156,0,False,,False,,False,,-0.08829863281594463,-0.1628759253268307,2022
2021-12-31,2022-01-06,300813,6,-0.0729102436710203,0,True,-0.14817280602758875,True,-0.14817280602758875,True,-0.06383609245983102,0.137197148743897,-0.18266101633126874,2022
2021-12-31,2022-01-10,603330,10,-0.0505999959172634,1,False,,False,,False,,0.04065373646733894,0.0241825997791123,2022
2021-10-29,2022-01-12,300179,75,-0.0486243624344854,6,True,0.10334928229665064,True,0.10334928229665064,True,-0.06411483253588512,0.06780397052203191,-0.03448810094537691,2022
