industry,factors,n_factors,mean_ic,ir,ic_positive_rate
互联网/软件,mom_x_lowvol_10_20+bb_rsi_combo+rsi_vol_combo,3,0.08280880747617547,0.28313440049371374,0.6107038123167156
互联网/软件,mom_x_lowvol_10_10+bb_rsi_combo+rsi_vol_combo,3,0.08244780321507879,0.2859275674737265,0.6125366568914956
互联网/软件,volatility+mom_x_lowvol_10_10+bb_rsi_combo,3,0.08234923470315426,0.28075805961498596,0.6074046920821115
互联网/软件,mom_x_lowvol_10_10+bb_rsi_combo,2,0.08177412554303072,0.27883482105883217,0.6099706744868035
互联网/软件,mom_x_lowvol_10_20+bb_rsi_combo,2,0.08156268551125627,0.27564981050071086,0.6044721407624634
互联网/软件,mom_x_lowvol_20_20+bb_rsi_combo+rsi_vol_combo,3,0.08106932566607222,0.2771662472637819,0.6041055718475073
互联网/软件,volatility+mom_x_lowvol_10_20+bb_rsi_combo,3,0.08097858683996394,0.273193362829879,0.6004398826979472
互联网/软件,mom_x_lowvol_10_10+mom_x_lowvol_20_10+bb_rsi_combo,3,0.08042535627170992,0.2707361401545541,0.6070381231671554
互联网/软件,mom_x_lowvol_20_10+bb_rsi_combo+rsi_vol_combo,3,0.07974444643097803,0.27663909863879865,0.6085043988269795
互联网/软件,volatility+mom_x_lowvol_20_10+bb_rsi_combo,3,0.0795952849110842,0.2716590721707576,0.6026392961876833
交运,bb_rsi_combo+bb_width_20+mom_x_lowvol_10_20,3,0.05934032096079004,0.1514462206386955,0.5631105900742478
交运,bb_rsi_combo+bb_width_20+mom_x_lowvol_20_20,3,0.05653796974718901,0.14516477418872412,0.5599843688940993
交运,fund_score+mom_x_lowvol_10_20+mom_x_lowvol_20_20,3,0.05538289458846085,0.1671666665986113,0.5541227041813208
交运,fund_score+mom_x_lowvol_10_20+mom_x_lowvol_10_10,3,0.05512827575753927,0.16635090125815166,0.5568581477139508
交运,fund_score+bb_rsi_combo+mom_x_lowvol_10_20,3,0.054968726612026904,0.16474737405203863,0.5560765924189136
交运,fund_score+mom_x_lowvol_20_20+mom_x_lowvol_10_10,3,0.054193772832884575,0.16393927339372424,0.5556858147713951
交运,fund_score+rsi_vol_combo+mom_x_lowvol_10_20,3,0.0541229257455972,0.16292961697968322,0.5560765924189136
交运,fund_score+bb_rsi_combo+mom_x_lowvol_20_20,3,0.053779909088403,0.16148103105032807,0.558421258304025
交运,bb_rsi_combo+bb_width_20+mom_x_lowvol_10_10,3,0.053416374883379907,0.13721596963273217,0.5572489253614693
交运,fund_score+bb_rsi_combo+bb_width_20,3,0.053335299077726085,0.15876295863192094,0.564673700664322
军工,fund_profit_growth+mom_x_lowvol_20_10+bb_rsi_combo,3,0.10528817587641115,0.30077875565648987,0.6078431372549019
军工,fund_profit_growth+mom_x_lowvol_20_10+mom_x_lowvol_10_20,3,0.10525422290128171,0.3049255101707001,0.6099439775910365
军工,fund_profit_growth+mom_x_lowvol_10_20+bb_rsi_combo,3,0.10515236397589336,0.3006883234021365,0.6071428571428571
军工,fund_profit_growth+mom_x_lowvol_10_10+mom_x_lowvol_10_20,3,0.10509294626941686,0.3043668084525572,0.6092436974789915
军工,fund_profit_growth+mom_x_lowvol_10_10+bb_rsi_combo,3,0.1050589932942874,0.30001408788282796,0.6078431372549019
军工,fund_profit_growth+mom_x_lowvol_10_10+mom_x_lowvol_20_10,3,0.10497411085646378,0.3040054941122153,0.6099439775910365
军工,fund_profit_growth+mom_x_lowvol_20_10+rsi_vol_combo,3,0.10495713436889907,0.2999767087488812,0.6078431372549019
军工,fund_profit_growth+mom_x_lowvol_10_10+rsi_vol_combo,3,0.10491469314998726,0.2997610606457259,0.6078431372549019
军工,fund_profit_growth+mom_x_lowvol_10_20+rsi_vol_combo,3,0.1047279517867753,0.2997188339715542,0.6078431372549019
军工,fund_profit_growth+volatility+mom_x_lowvol_10_20,3,0.10461760461760461,0.2996081921027095,0.6099439775910365
化工,mom_x_lowvol_10_10+momentum_reversal+fund_score,3,0.06668850762065134,0.2861436489045937,0.6143695014662757
化工,momentum_reversal+fund_score,2,0.0666775095222324,0.2852269339077343,0.6121700879765396
化工,momentum_reversal+mom_x_lowvol_20_10+fund_score,3,0.06665845448997286,0.2860470565164356,0.6140029325513197
化工,mom_x_lowvol_10_20+momentum_reversal+fund_score,3,0.06664993189958246,0.28596703423485337,0.6136363636363636
化工,mom_x_lowvol_20_20+momentum_reversal+fund_score,3,0.06652612517300618,0.2855439250892177,0.6125366568914956
