factor,n_days,calib_mean,flip_prob
volatility,1210,0.07739080044513905,0.0
trend_lowvol,1210,0.07657928470394373,0.0
mom_x_lowvol_20_20,1210,0.068489657633731,0.0
fund_pb,1210,0.06625588203083221,0.0
momentum_reversal,1210,0.06604727437071423,0.0
fund_pe,1210,0.048315563460546745,0.0
fund_pg_improve,1210,0.048263373179651466,0.0
rsi_vol_combo,1210,0.045611839880350356,0.0
low_downside,1210,0.04421198752211541,0.0005
turnover_stability,1210,0.03724393411840711,0.0
fund_profit_growth,1210,0.03679919884594733,0.0
fund_score,1210,0.03431995058292563,0.0
fund_rg_improve,1210,0.031460341405008196,0.0
fund_revenue_growth,1210,0.022437545030695664,0.0015
fund_roe,1210,0.019891487625920006,0.037
top_fractal_volume,1210,-0.0018639342440084613,0.1015
fund_gross_margin,1210,-0.002820882626267615,0.321
stroke_phase,1210,-0.006668912164914462,0.154
exhaustion_risk,1210,-0.02628250633496857,0.0
vol_confirm,1210,-0.028875573613150043,0.0
relative_strength,1210,-0.05222672501249488,0.0
bb_width_20,1210,-0.05801765752421279,0.0
ema20_slope,1210,-0.06671146973088626,0.0
