feature,IC,p_value,W_mean,L_mean,diff,effect_size,N_valid,abs_IC
mom_60d,-0.059748,0.0,5.5227,12.7089,-7.1862,-0.1719,49999,0.059748
dist_ma60,-0.052319,0.0,-0.193,3.1957,-3.3887,-0.1589,49999,0.052319
pct_from_high_pos_60d,-0.038369,0.0,-18.558,-16.5462,-2.0118,-0.1255,49999,0.038369
vol_regime,0.036918,0.0,1.0038,0.9799,0.0239,0.0944,49999,0.036918
chan_structure_score,-0.035528,0.0,0.1148,0.1703,-0.0555,-0.0644,49999,0.035528
min_gap_20d,-0.035449,0.0,-6.9842,-6.7465,-0.2377,-0.0439,49999,0.035449
min_ret_20d,-0.035448,0.0,-8.1999,-7.7926,-0.4074,-0.0355,49999,0.035448
max_dd_20d,-0.034361,0.0,-15.2731,-14.001,-1.2721,-0.119,49999,0.034361
pos_in_range_pos_60d,-0.032155,0.0,0.4755,0.4906,-0.015,-0.0402,49999,0.032155
mom_20d,-0.031164,0.0,0.1138,2.6649,-2.5512,-0.1186,49999,0.031164
pct_from_high_pos_20d,-0.029861,0.0,-10.8892,-9.3522,-1.537,-0.1325,49999,0.029861
down_capture,0.027453,0.0,3.0798,2.9544,0.1254,0.06,49999,0.027453
avg_down_ret,0.027453,0.0,3.0798,2.9544,0.1254,0.06,49999,0.027453
chan_sell_point,0.026922,0.0,0.029,0.0052,0.0238,0.1097,49999,0.026922
vol_10d,0.02671,0.0,3.5295,3.4042,0.1253,0.0428,49999,0.02671
vol_ratio_20d,0.026694,0.0,1.1146,1.1034,0.0112,0.0129,49999,0.026694
up_down_ratio,-0.026513,0.0,1.0438,1.0385,0.0052,0.0103,49999,0.026513
mom_accel,0.026281,0.0,-0.173,-1.7336,1.5606,0.0865,49999,0.026281
dist_ma20,-0.026118,0.0,-0.5935,0.9087,-1.5022,-0.1192,49999,0.026118
ret_skew_20d,-0.025711,0.0,-0.09,-0.103,0.0129,0.0157,49999,0.025711
vol_20d,0.025319,0.0,3.6941,3.5867,0.1074,0.0398,49999,0.025319
vol_5d,0.024802,0.0,3.226,3.0112,0.2148,0.0705,49999,0.024802
mom_5d,-0.02328,0.0,-0.0592,0.9313,-0.9906,-0.0956,49999,0.02328
mom_10d,-0.022901,0.0,0.2028,1.6932,-1.4904,-0.0999,49999,0.022901
dist_ma5,-0.021888,1e-06,-0.199,0.4438,-0.6428,-0.0938,49999,0.021888
dist_ma10,-0.020925,3e-06,-0.3238,0.6652,-0.9891,-0.1076,49999,0.020925
gap_down_count_20d,0.019321,1.6e-05,4.8624,4.6634,0.199,0.078,49999,0.019321
factor_value,0.018445,3.7e-05,0.6496,0.6334,0.0162,0.0479,49999,0.018445
score,0.015629,0.000474,0.6462,0.6277,0.0185,0.0517,49999,0.015629
ret_kurt_20d,0.014975,0.000812,0.4516,0.365,0.0866,0.0424,49999,0.014975
vol_ratio_5d,0.013596,0.002365,1.0898,1.0802,0.0095,0.0142,49999,0.013596
factor_quality,-0.01334,0.002854,0.0979,0.0999,-0.0019,-0.007,49999,0.01334
consecutive_down,0.012967,0.003738,0.9768,0.9074,0.0694,0.0519,49999,0.012967
vol_trend_5d,0.012876,0.003988,1.1157,1.1756,-0.0599,-0.0337,49999,0.012876
ma_bull_align,-0.011435,0.010562,0.2406,0.2378,0.0028,0.0066,49999,0.011435
win_rate_20d,-0.010549,0.018336,0.4911,0.497,-0.0059,-0.0532,49999,0.010549
daily_ret,-0.01046,0.019346,-0.1725,0.0211,-0.1936,-0.0426,49999,0.01046
pos_in_range_pos_20d,-0.008946,0.045463,0.4992,0.4989,0.0003,0.0006,49999,0.008946
chan_divergence_strength,0.008673,0.052453,0.0332,0.0221,0.0112,0.0938,49999,0.008673
consecutive_up,-0.007169,0.108939,0.9624,0.9716,-0.0092,-0.0067,49999,0.007169
avg_up_ret,0.00539,0.228136,2.694,2.6901,0.0039,0.003,49999,0.00539
up_capture,0.00539,0.228136,2.694,2.6901,0.0039,0.003,49999,0.00539
max_gap_20d,0.005103,0.253865,6.9715,6.9137,0.0578,0.0181,49999,0.005103
max_ret_20d,0.0051,0.254144,6.4384,6.3825,0.0559,0.0204,49999,0.0051
chan_buy_point,0.002089,0.640383,0.0422,0.0434,-0.0012,-0.0034,49999,0.002089
gap_up_count_20d,0.000876,0.844785,4.8348,4.8952,-0.0604,-0.0235,49999,0.000876
turnover_ratio,0.0,1.0,,,,0.0,0,0.0
turnover,0.0,1.0,,,,0.0,0,0.0
turnover_5d_avg,0.0,1.0,,,,0.0,0,0.0
turnover_20d_avg,0.0,1.0,,,,0.0,0,0.0
amplitude_5d_avg,0.0,1.0,,,,0.0,0,0.0
amplitude_20d_avg,0.0,1.0,,,,0.0,0,0.0
amplitude,0.0,1.0,,,,0.0,0,0.0
signal_level,,,0.0,0.0,0.0,0.0,49999,
