industry,count,ic_mean,ir,buy_count,buy_acc,avg_ret
自动化/制造,52967,0.07608154700580648,0.2654222551359382,37238,0.5111445297814061,0.016359872242463977
通信/计算机,65686,0.06585556906072663,0.24064474418243195,40317,0.505146712304983,0.01847511851445049
金融,45761,0.06301599899716837,0.16894792849616486,32536,0.5185640521268748,0.008702711127400476
化工,84479,0.06274922730210729,0.2757110131495568,52794,0.5120089404098951,0.01635318075542021
新能源车/风电,99711,0.06145897840729128,0.2629867077815093,67904,0.5103381244109331,0.020658797977143286
消费/传媒/农业/环保/医药,96219,0.05388823185398947,0.21973514965292182,60567,0.5049119157296877,0.01709260523809294
电力设备,123694,0.04573689988332781,0.206298668225032,88179,0.4712573288424682,0.004903809093423244
有色/钢铁/煤炭/建材,170742,0.038535427747543594,0.18605188644775866,106532,0.4921244320955206,0.014681868766375054
基建/地产/石油石化,63032,0.03607148248063308,0.13526106768028254,44052,0.4833605738672478,0.005600688433898691
电子,103572,0.035822838427121015,0.1651099636047321,69456,0.5218267680258005,0.018921706776084894
互联网/软件,57858,0.03076769768266686,0.1153067740398743,34342,0.45969949333178034,0.007109127492555797
交运,32783,0.027877900104628362,0.08272796078420536,21995,0.4522391452602864,0.007311855042383317
军工,26936,0.0228299422090763,0.05887907136594895,16087,0.48952570398458384,0.009178045007718494
半导体/光伏,99977,0.017664857060386174,0.06743952667657375,56432,0.49810391267366033,0.018757495500980714
