industry,stock_count,up_trend_pct,down_trend_pct,b1,b2,b3,formation_score,avg_composite,summary,hot_rank
半导体/光伏,238,4.621848739495799,0.8403361344537815,1,0,3,1.0,0.026994460726548587,★ 强主线，梯队完整，可积极操作,1
自动化/制造,560,7.321428571428572,0.8928571428571428,1,0,6,1.0,-0.005387953121393134,★ 强主线，梯队完整，可积极操作,2
新能源车/风电,405,3.45679012345679,1.4814814814814816,4,0,0,1.0,-0.03480692467954835,★ 强主线，梯队完整，可积极操作,3
传媒,139,7.913669064748201,0.7194244604316548,0,0,1,1.0,-0.07854676258992808,○ 次主线，有结构但梯队不全，谨慎参与,4
电子,366,5.46448087431694,0.546448087431694,1,1,6,0.7,0.012201140893152615,★ 强主线，梯队完整，可积极操作,5
电力设备,310,8.38709677419355,0.6451612903225806,0,0,6,0.7,-0.0014047728237383413,★ 强主线，梯队完整，可积极操作,6
通信/计算机,205,4.390243902439024,0.0,0,0,4,0.7,-0.017180808043629498,★ 强主线，梯队完整，可积极操作,7
环保/公用,198,6.0606060606060606,0.5050505050505051,0,0,3,0.7,-0.017838312499774255,★ 强主线，梯队完整，可积极操作,8
化工,422,4.976303317535545,1.1848341232227488,1,0,7,0.7,-0.02359330934707024,★ 强主线，梯队完整，可积极操作,9
建材,118,3.389830508474576,0.847457627118644,1,0,0,0.7,-0.058582559502344124,○ 次主线，有结构但梯队不全，谨慎参与,10
互联网/软件,272,6.61764705882353,1.1029411764705883,2,0,5,0.7,-0.06478015762910228,★ 强主线，梯队完整，可积极操作,11
基建/地产/石油石化,270,4.074074074074074,0.0,0,0,4,0.7,-0.07031670525260016,★ 强主线，梯队完整，可积极操作,12
消费,592,5.236486486486487,0.8445945945945946,1,0,10,0.7,-0.07381176915617864,★ 强主线，梯队完整，可积极操作,13
交运,143,2.797202797202797,2.097902097902098,1,0,2,0.7,-0.08999335785576962,★ 强主线，梯队完整，可积极操作,14
军工,74,6.756756756756757,0.0,0,0,0,0.7,-0.09354729729729731,✗ 资金出逃，回避,15
医药,484,2.8925619834710745,2.272727272727273,1,0,4,0.7,-0.10252809801556498,★ 强主线，梯队完整，可积极操作,16
有色/钢铁/煤炭,219,5.0228310502283104,0.0,0,0,1,0.3,-0.07481354642313523,✗ 资金出逃，回避,17
农业,67,5.970149253731343,2.9850746268656714,0,0,0,0.0,-0.09716417910447762,— 无明显方向，观望,18
金融,121,0.0,0.8264462809917356,0,0,2,0.0,-0.10596355907656467,— 无明显方向，观望,19
