股票代码,股票名称,行业,收盘价,涨跌幅%,量比,走势类型,趋势强度,中枢位置,中枢上沿ZG,中枢下沿ZD,笔方向,线段方向,买点类型,买点置信度,卖点类型,卖点置信度,二买确认,二买置信度,双级确认买,双级确认卖,信号级别,买入强度,卖出强度,底背驰,顶背驰,均线排列,均线破位,量异常,笔趋势耗尽,综合评分,机会等级,风险等级,止损价
002166,莱茵生物,化工,8.78,0.23,1.01,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.85,S1(一卖),0.612,,,是,,线段级,0.62,,,,1.0,,,,0.597,B,高危,8.17
301278,快可电子,半导体/光伏,39.93,-1.82,0.84,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.771,S1(一卖),0.747,,,是,,线段级,0.604,,,,1.0,,,,0.5915,B,高危,37.13
300249,依米康,通信/计算机,18.43,-3.05,1.26,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.743,-,,,,是,,线段级,0.599,,,,1.0,,,,0.5895,B,安全,17.14
300417,南华仪器,自动化/制造,14.91,-1.52,1.03,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.713,-,,,,是,,线段级,0.593,,,,1.0,,,,0.5874,B,安全,13.87
301012,扬电科技,电力设备,36.08,-1.47,0.74,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.623,-,,,,是,,线段级,0.575,,,,1.0,跌破MA5,,,0.5311,B,安全,33.55
600493,凤竹纺织,消费,7.24,-0.82,0.88,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.617,S1(一卖),0.506,,,是,,线段级,0.573,,,,0.0,跌破MA60,,,0.4807,B,高危,6.73
002935,天奥电子,电子,20.68,0.39,0.53,上涨趋势,0.8,中枢上,,,-,-,B3(三买),0.85,S2(二卖),0.5,,,是,,线段级,0.62,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.447,B,高危,19.23
600320,振华重工,自动化/制造,5.09,-0.59,0.93,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.735,S1(一卖),0.549,,,是,,线段级,0.597,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.439,B,高危,4.73
000428,华天酒店,消费,3.7,-1.86,1.05,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.637,-,,,,是,,线段级,0.577,,,,1.0,"跌破MA10, 跌破MA20, 跌破MA60",,,0.4321,B,高危,3.46
001209,洪兴股份,消费,22.15,0.91,1.17,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,20.6
